Group,Species,Major_group
Bryophytes,Cephalozia bicuspidata,LOWER_PLANTS
Bryophytes,Cephalozia catenulata,LOWER_PLANTS
Bryophytes,Cephalozia connivens,LOWER_PLANTS
Bryophytes,Cephalozia lunulifolia,LOWER_PLANTS
Bryophytes,Cephalozia macrostachya,LOWER_PLANTS
Bryophytes,Cephaloziella divaricata,LOWER_PLANTS
Bryophytes,Cephaloziella hampeana,LOWER_PLANTS
Bryophytes,Cephaloziella massalongi,LOWER_PLANTS
Bryophytes,Cephaloziella nicholsonii,LOWER_PLANTS
Bryophytes,Chiloscyphus polyanthos s.l.,LOWER_PLANTS
Bryophytes,Cinclidotus fontinaloides,LOWER_PLANTS
Bryophytes,Cirriphyllum crassinervium,LOWER_PLANTS
Bryophytes,Cirriphyllum piliferum,LOWER_PLANTS
Bryophytes,Cladopodiella fluitans,LOWER_PLANTS
Bryophytes,Climacium dendroides,LOWER_PLANTS
Bryophytes,Cololejeunea calcarea,LOWER_PLANTS
Bryophytes,Cololejeunea minutissima,LOWER_PLANTS
Bryophytes,Cololejeunea rossettiana,LOWER_PLANTS
Bryophytes,Colura calyptrifolia,LOWER_PLANTS
Bryophytes,Conocephalum conicum s.l.,LOWER_PLANTS
Bryophytes,Conostomum tetragonum,LOWER_PLANTS
Bryophytes,Cryphaea heteromalla,LOWER_PLANTS
Bryophytes,Ctenidium molluscum,LOWER_PLANTS
Bryophytes,Cynodontium bruntonii,LOWER_PLANTS
Bryophytes,Dendrocryphaea lamyana,LOWER_PLANTS
Bryophytes,Dialytrichia mucronata,LOWER_PLANTS
Bryophytes,Dichodontium palustre,LOWER_PLANTS
Bryophytes,Dichodontium pellucidum s.l.,LOWER_PLANTS
Bryophytes,Dicranella cerviculata,LOWER_PLANTS
Bryophytes,Dicranella heteromalla,LOWER_PLANTS
Bryophytes,Dicranella rufescens,LOWER_PLANTS
Bryophytes,Dicranella schreberiana,LOWER_PLANTS
Bryophytes,Dicranella staphylina,LOWER_PLANTS
Bryophytes,Dicranella varia,LOWER_PLANTS
Bryophytes,Dicranodontium denudatum,LOWER_PLANTS
Bryophytes,Dicranoweisia cirrata,LOWER_PLANTS
Bryophytes,Dicranum bonjeanii,LOWER_PLANTS
Bryophytes,Dicranum majus,LOWER_PLANTS
